source_ip,packet_size,protocol,true_label
192.168.2.8,36,UDP,normal
192.168.5.64,0,TCP,attack
192.168.4.37,0,TCP,attack
192.168.2.175,0,TCP,attack
192.168.9.24,0,TCP,attack
192.168.10.110,4998,TCP,normal
192.168.1.9,0,TCP,attack
192.168.2.57,0,TCP,attack
192.168.4.131,0,TCP,attack
192.168.10.8,1078,TCP,normal
192.168.9.52,0,TCP,attack
192.168.9.109,29264,TCP,normal
192.168.4.116,0,TCP,attack
192.168.10.73,567,TCP,normal
192.168.1.196,1172,TCP,normal
192.168.3.180,90,UDP,normal
192.168.7.89,131,UDP,normal
192.168.5.41,734,TCP,normal
192.168.4.247,150,TCP,normal
192.168.6.28,35,TCP,normal
192.168.2.99,839,TCP,normal
192.168.2.93,169,UDP,normal
192.168.6.156,1032,ICMP,attack
192.168.5.208,6317,TCP,normal
192.168.1.188,2585,TCP,normal
192.168.8.139,911,TCP,normal
192.168.2.251,334,TCP,attack
192.168.7.22,0,TCP,attack
192.168.9.77,1019,TCP,normal
192.168.10.228,30,ICMP,normal
192.168.6.149,854,TCP,normal
192.168.4.182,0,TCP,attack
192.168.2.13,3041,TCP,normal
192.168.4.199,520,UDP,normal
192.168.5.254,0,TCP,attack
192.168.2.220,0,TCP,attack
192.168.4.223,0,TCP,attack
192.168.2.99,0,TCP,attack
192.168.5.118,30,ICMP,normal
192.168.6.43,0,TCP,attack
192.168.6.92,0,TCP,attack
192.168.4.173,554,TCP,normal
192.168.5.181,118,UDP,normal
192.168.2.157,1170,TCP,normal
192.168.3.138,0,TCP,attack
192.168.4.43,165,TCP,normal
192.168.8.99,0,TCP,attack
192.168.5.238,0,TCP,attack
192.168.9.58,1516,TCP,normal
192.168.6.217,0,TCP,attack
192.168.1.60,30,TCP,attack
192.168.1.208,12,TCP,normal
192.168.6.104,0,TCP,attack
192.168.5.18,2057,TCP,normal
192.168.4.235,1772,TCP,normal
192.168.10.226,12392,TCP,normal
192.168.6.56,0,TCP,attack
192.168.8.103,0,TCP,attack
192.168.8.38,776,TCP,normal
192.168.5.37,1402,TCP,normal
192.168.4.192,0,TCP,attack
192.168.9.139,4221,TCP,normal
192.168.5.193,12047,TCP,normal
192.168.10.111,18730,TCP,normal
192.168.10.104,27425,TCP,normal
192.168.6.58,10249,TCP,normal
192.168.3.132,252,UDP,normal
192.168.8.25,0,TCP,attack
192.168.1.222,177,UDP,normal
192.168.2.41,520,UDP,normal
192.168.3.204,168,TCP,normal
192.168.7.154,28546,TCP,normal
192.168.2.100,0,TCP,attack
192.168.7.154,0,TCP,attack
192.168.8.137,1742,TCP,normal
192.168.5.250,251,UDP,normal
192.168.9.222,0,TCP,attack
192.168.1.176,0,TCP,attack
192.168.2.176,30,ICMP,normal
192.168.9.194,0,TCP,attack
192.168.5.198,4444,TCP,normal
192.168.6.30,14677,TCP,normal
192.168.5.113,0,TCP,attack
192.168.3.118,2108,TCP,normal
192.168.1.246,188,UDP,normal
192.168.5.250,373,TCP,normal
192.168.9.197,250,UDP,normal
192.168.3.131,0,TCP,attack
192.168.2.224,0,TCP,attack
192.168.5.217,1490,TCP,normal
192.168.9.157,0,TCP,attack
192.168.4.41,0,TCP,attack
192.168.6.197,68,UDP,normal
192.168.3.140,11552,TCP,normal
192.168.9.237,8363,TCP,normal
192.168.1.155,154,UDP,normal
192.168.6.127,9462,TCP,normal
192.168.1.30,0,TCP,attack
192.168.6.226,8,ICMP,attack
192.168.5.63,334,TCP,attack
192.168.1.63,1721,TCP,normal
192.168.10.244,0,TCP,attack
192.168.2.23,1619,TCP,normal
192.168.8.210,0,TCP,attack
192.168.2.252,30,ICMP,normal
192.168.9.198,562,TCP,normal
192.168.3.34,0,TCP,attack
192.168.8.244,252,UDP,normal
192.168.9.44,768,TCP,normal
192.168.5.137,0,TCP,attack
192.168.10.110,1044,TCP,normal
192.168.4.239,8,ICMP,attack
192.168.9.195,0,TCP,attack
192.168.4.184,7976,TCP,normal
192.168.5.104,0,TCP,attack
192.168.6.114,0,TCP,attack
192.168.9.117,117,UDP,normal
192.168.2.65,2259,TCP,normal
192.168.4.18,122,UDP,normal
192.168.6.7,681,TCP,normal
192.168.10.143,7779,TCP,normal
192.168.4.152,0,TCP,attack
192.168.4.3,1014,TCP,normal
192.168.2.183,740,TCP,normal
192.168.1.60,0,TCP,attack
